Boroughs,B/R,RACE_ETHNICITY
BRONX,BX_Asian,31124
BRONX,BX_Black,117338
BRONX,BX_Hispanic,263141
BRONX,BX_White,53338
BROOKLYN,BK_Asian,221172
BROOKLYN,BK_Black,219335
BROOKLYN,BK_Hispanic,181465
BROOKLYN,BK_White,361160
MANHATTAN,MH_Asian,142294
MANHATTAN,MH_Black,73613
MANHATTAN,MH_Hispanic,192425
MANHATTAN,MH_White,440646
QUEENS,QS_Asian,415571
QUEENS,QS_Black,120045
QUEENS,QS_Hispanic,292441
QUEENS,QSWhite,241100
STATEN ISLAND,SI_Asian,34144
STATEN ISLAND,SI_Black,13176
STATEN ISLAND,SI_Hispanic,30439
STATEN ISLAND,SI_White,111899